iter	Passed	Remaining
291	518	1258
292	520	1256
293	523	1256
294	525	1254
295	526	1252
296	528	1250
297	530	1249
298	532	1247
299	534	1246
300	535	1243
301	537	1242
302	539	1240
303	540	1238
304	542	1235
305	544	1235
306	546	1234
307	548	1232
308	549	1229
309	551	1228
310	553	1227
311	555	1225
312	557	1222
313	560	1223
314	562	1222
315	563	1220
316	565	1218
317	567	1217
318	569	1216
319	571	1213
320	573	1212
321	575	1212
322	577	1210
323	579	1208
324	581	1207
325	583	1205
326	585	1204
327	586	1202
328	589	1203
329	591	1201
330	593	1200
331	595	1197
332	597	1197
333	599	1195
334	601	1193
335	603	1191
336	605	1192
337	607	1189
338	609	1188
339	612	1188
340	613	1186
341	615	1184
342	616	1181
343	618	1180
344	620	1178
345	622	1176
346	624	1174
347	625	1172
348	627	1171
349	629	1169
350	631	1167
351	633	1166
352	635	1165
353	637	1163
354	639	1161
355	642	1162
356	644	1160
357	646	1158
358	648	1157
359	650	1155
360	652	1155
361	653	1152
362	657	1153
363	659	1152
364	661	1150
365	664	1150
366	666	1149
367	668	1147
368	669	1145
369	673	1145
370	675	1144
371	676	1142
372	680	1144
373	682	1142
374	683	1139
375	685	1137
376	687	1136
377	689	1135
378	692	1133
379	695	1134
380	696	1132
381	698	1130
382	700	1128
383	702	1127
384	704	1125
385	706	1123
386	707	1120
387	709	1118
388	711	1116
389	712	1114
390	714	1112
391	716	1111
392	718	1110
393	720	1108
394	721	1105
395	724	1105
396	726	1103
397	729	1102
398	733	1105
399	735	1103
400	737	1102
401	740	1101
402	742	1099
403	744	1097
404	746	1096
405	748	1094
406	750	1093
407	751	1091
408	754	1090
409	756	1088
410	758	1087
411	761	1086
412	763	1085
413	765	1083
414	767	1081
415	769	1080
416	771	1078
417	773	1076
418	778	1080
419	780	1078
420	782	1076
421	786	1076
422	787	1074
423	789	1072
424	792	1071
425	794	1070
426	796	1068
427	797	1066
428	800	1065
429	802	1063
430	804	1061
431	806	1060
432	808	1058
433	810	1056
434	811	1054
435	815	1054
436	817	1053
437	819	1051
438	822	1050
439	824	1049
440	826	1047
441	829	1046
442	831	1045
443	833	1044
444	837	1044
445	839	1043
446	841	1041
447	843	1039
448	845	1038
449	847	1036
450	849	1034
451	854	1036
452	857	1035
453	860	1034
454	862	1033
455	864	1031
456	867	1030
457	869	1029
458	872	1027
459	874	1026
460	876	1025
461	878	1022
462	882	1023
463	884	1021
464	886	1019
465	888	1018
466	891	1017
467	893	1015
468	895	1013
469	898	1012
470	904	1016
471	907	1015
472	909	1013
473	911	1011
474	913	1009
475	917	1009
476	920	1009
477	922	1007
478	923	1004
479	926	1003
480	928	1001
481	930	999
482	931	997
483	933	994
484	935	992
485	936	990
486	938	988
487	940	986
488	942	984
489	944	982
490	945	980
491	947	978
492	949	976
493	951	975
494	953	972
495	955	970
496	957	968
497	958	966
498	960	964
499	961	961
500	963	959
501	966	959
502	968	956
503	969	954
504	971	952
505	973	950
506	975	948
507	976	946
508	978	944
509	980	942
510	982	940
511	984	938
512	986	936
513	988	934
514	990	932
515	991	930
516	993	928
517	996	926
518	998	925
519	999	922
520	1001	920
521	1003	919
522	1005	917
523	1007	915
524	1010	914
525	1012	912
526	1014	910
527	1015	908
528	1017	906
529	1019	904
530	1022	903
531	1025	901
532	1026	899
533	1028	897
534	1030	895
535	1032	894
536	1034	891
537	1036	889
538	1037	887
539	1040	886
540	1042	884
541	1044	882
542	1047	881
543	1048	879
544	1050	876
545	1052	875
546	1055	874
547	1057	872
548	1059	870
549	1060	867
550	1063	866
551	1065	864
552	1066	862
553	1069	861
554	1071	859
555	1073	857
556	1075	854
557	1077	853
558	1079	851
559	1081	849
560	1083	848
561	1085	846
562	1087	843
563	1089	841
564	1091	840
565	1094	839
566	1096	836
567	1097	834
568	1100	833
569	1103	832
570	1107	832
571	1109	830
572	1111	827
573	1114	827
574	1117	826
575	1119	823
576	1122	822
577	1124	821
578	1126	819
579	1129	817
580	1131	815
581	1133	813
582	1134	811
583	1137	810
584	1139	808
585	1141	806
586	1143	804
587	1145	802
588	1147	800
589	1149	798
590	1153	798
591	1155	796
592	1156	793
593	1159	792
594	1161	790
595	1163	788
596	1164	786
597	1167	784
598	1169	783
599	1171	780
600	1172	778
601	1176	777
602	1178	775
603	1180	774
604	1183	772
605	1185	770
606	1186	768
607	1189	766
608	1191	765
609	1193	763
610	1196	761
611	1198	759
612	1200	757
613	1201	755
614	1206	755
615	1208	753
616	1210	751
617	1213	750
618	1214	747
619	1216	745
620	1218	743
621	1220	741
622	1222	739
623	1224	737
624	1226	735
625	1228	733
626	1229	731
627	1231	729
628	1233	727
629	1237	726
630	1240	725
631	1243	724
632	1245	722
633	1247	720
634	1250	718
635	1252	716
636	1254	714
637	1257	713
638	1259	711
639	1261	709
640	1263	707
641	1266	706
642	1268	704
643	1270	702
644	1275	701
645	1277	700
646	1283	700
647	1285	698
648	1291	698
649	1297	698
650	1299	696
651	1301	694
652	1304	693
653	1307	691
654	1310	690
655	1313	688
656	1315	686
657	1317	684
658	1319	682
659	1321	680
660	1323	678
661	1329	679
662	1331	676
663	1335	675
664	1337	673
665	1339	671
666	1343	670
667	1345	668
668	1346	666
669	1348	664
670	1351	662
671	1352	660
672	1354	658
673	1357	656
674	1360	654
675	1362	652
676	1364	651
677	1367	649
678	1370	647
679	1372	645
680	1374	643
681	1376	641
682	1378	639
683	1380	637
684	1382	635
685	1383	633
686	1386	631
687	1388	629
688	1389	627
689	1391	624
690	1394	623
691	1396	621
692	1397	619
693	1399	616
694	1401	614
695	1403	612
696	1404	610
697	1406	608
698	1410	607
699	1412	605
700	1414	603
701	1417	601
702	1418	599
703	1420	597
704	1422	595
705	1424	593
706	1426	591
707	1429	589
708	1431	587
709	1433	585
710	1434	583
711	1437	581
712	1439	579
713	1441	577
714	1443	575
715	1445	573
716	1447	571
717	1448	568
718	1450	566
719	1452	564
720	1454	562
721	1456	560
722	1457	558
723	1461	556
724	1462	554
725	1464	552
726	1467	551
727	1469	548
728	1470	546
729	1472	544
730	1476	543
731	1479	541
732	1482	540
733	1484	538
734	1486	536
735	1491	534
736	1493	532
737	1495	530
738	1498	529
739	1500	527
740	1501	524
741	1503	522
742	1505	520
743	1507	518
744	1509	516
745	1511	514
746	1513	512
747	1516	510
748	1518	508
749	1520	506
750	1522	504
751	1523	502
752	1525	500
753	1528	498
754	1530	496
755	1531	494
756	1533	492
757	1535	490
758	1537	488
759	1538	485
760	1540	483
761	1543	482
762	1545	480
763	1547	477
764	1549	476
765	1551	473
766	1552	471
767	1554	469
768	1557	467
769	1559	465
770	1561	463
771	1562	461
772	1564	459
773	1567	457
774	1568	455
775	1570	453
776	1573	451
777	1574	449
778	1576	447
779	1579	445
780	1580	443
781	1582	441
782	1584	438
783	1588	437
784	1590	435
785	1591	433
786	1594	431
787	1595	429
788	1597	427
789	1598	425
790	1600	423
791	1602	420
792	1605	418
793	1606	416
794	1609	414
795	1610	412
796	1612	410
797	1614	408
798	1617	407
799	1619	404
800	1620	402
801	1622	400
802	1625	398
803	1627	396
804	1629	394
805	1632	392
806	1634	390
807	1635	388
808	1637	386
809	1640	384
810	1642	382
811	1644	380
812	1646	378
813	1648	376
814	1650	374
815	1652	372
816	1656	370
817	1657	368
818	1659	366
819	1661	364
820	1663	362
821	1665	360
822	1667	358
823	1670	356
824	1672	354
825	1673	352
826	1675	350
827	1678	348
828	1680	346
829	1682	344
830	1684	342
831	1687	340
832	1690	338
833	1692	336
834	1695	334
835	1696	332
836	1698	330
837	1700	328
838	1702	326
839	1704	324
840	1706	322
841	1708	320
842	1710	318
843	1712	316
844	1715	314
845	1718	312
846	1719	310
847	1722	308
848	1724	306
849	1726	304
850	1728	302
851	1730	300
852	1732	298
853	1735	296
854	1738	294
855	1740	292
856	1742	290
857	1744	288
858	1746	286
859	1748	284
860	1749	282
861	1752	280
862	1754	278
863	1756	276
864	1759	274
865	1761	272
866	1762	270
867	1764	268
868	1774	267
869	1778	265
870	1791	265
871	1793	263
872	1800	261
873	1802	259
874	1805	257
875	1808	255
876	1817	254
877	1824	253
878	1834	252
879	1839	250
880	1845	249
881	1849	247
882	1853	245
883	1860	244
884	1865	242
885	1871	240
886	1876	239
887	1878	236
888	1880	234
889	1885	233
890	1895	231
891	1909	231
892	1911	229
893	1913	226
894	1916	224
895	1918	222
896	1920	220
897	1921	218
898	1923	216
899	1925	213
900	1926	211
901	1928	209
902	1932	207
903	1934	205
904	1940	203
905	1942	201
906	1945	199
907	1947	197
908	1949	195
909	1951	193
910	1954	190
911	1956	188
912	1958	186
913	1960	184
914	1962	182
915	1963	180
916	1965	177
917	1967	175
918	1969	173
919	1971	171
920	1973	169
921	1976	167
922	1978	165
923	1980	162
924	1982	160
925	1984	158
926	1985	156
927	1987	154
928	1989	152
929	1992	149
930	1993	147
931	1995	145
932	1997	143
933	1999	141
934	2001	139
935	2003	136
936	2005	134
937	2007	132
938	2009	130
939	2011	128
940	2013	126
941	2015	124
942	2017	121
943	2019	119
944	2022	117
945	2024	115
946	2026	113
947	2028	111
948	2030	109
949	2031	106
950	2034	104
951	2036	102
952	2038	100
953	2040	98
954	2042	96
955	2043	94
956	2045	91
957	2047	89
958	2050	87
959	2052	85
960	2054	83
961	2055	81
962	2057	79
963	2060	76
964	2061	74
965	2063	72
966	2066	70
967	2067	68
968	2069	66
969	2071	64
970	2073	61
971	2075	59
972	2076	57
973	2079	55
974	2082	53
975	2084	51
976	2087	49
977	2089	46
978	2091	44
979	2093	42
980	2096	40
981	2098	38
982	2100	36
983	2103	34
984	2105	32
985	2107	29
986	2110	27
987	2111	25
988	2113	23
989	2115	21
990	2118	19
991	2120	17
992	2122	14
993	2124	12
994	2125	10
995	2127	8
996	2129	6
997	2132	4
998	2134	2
999	2136	0
